,train_acc,test_acc,train_loss,test_loss
0,0.5999022960429897,0.6911922663802363,0.6675877291709185,0.6354088922341664
1,0.6844162188568637,0.7277121374865736,0.6072658468037844,0.5502908090750377
2,0.727894479726429,0.7287862513426423,0.5536272879689932,0.535457260409991
3,0.7440156326331216,0.7443609022556391,0.5413545789197087,0.521103905638059
4,0.7464582315583781,0.7459720730397422,0.5228965561836958,0.5194672475258509
5,0.7572056668295066,0.7534908700322234,0.5154683860018849,0.5149768849213918
6,0.7806546165119688,0.7448979591836735,0.5001853015273809,0.5200089077154796
7,0.7752808988764045,0.7336197636949516,0.4877659482881427,0.5207921082774798
8,0.7718612603810454,0.7529538131041891,0.481410700827837,0.5084756379326184
9,0.7689301416707377,0.7470461868958109,0.4815279161557555,0.5204993337392807
10,0.7743038593063019,0.742749731471536,0.4766465751454234,0.5145160446564356
11,0.776257938446507,0.7459720730397422,0.47972455620765686,0.5201358536879221
12,0.7884709330727895,0.7475832438238453,0.4581534517928958,0.5137651711702347
13,0.7904250122129947,0.7556390977443609,0.45918771624565125,0.5127281402548154
14,0.7933561309233024,0.7540279269602578,0.453696021810174,0.5055556123455366
15,0.7967757694186615,0.7551020408163265,0.4427791526541114,0.506151482462883
16,0.7938446507083536,0.7534908700322234,0.453193792141974,0.5095511873563131
17,0.8124084025403029,0.7529538131041891,0.4239335786551237,0.516178015867869
18,0.8041035661944309,0.7620837808807733,0.4272046023979783,0.5150465036431948
19,0.8065461651196874,0.7545649838882922,0.4253526832908392,0.51364390005668
20,0.8124084025403029,0.7502685284640171,0.4229289460927248,0.5213224053382873
21,0.8133854421104054,0.7540279269602578,0.41941712610423565,0.5164463316400846
22,0.8133854421104054,0.7561761546723953,0.4047623034566641,0.5152882357438405
23,0.8221787982413288,0.7626208378088077,0.40415864437818527,0.5122071067492168
24,0.8280410356619443,0.7524167561761547,0.4058241304010153,0.524566147228082
25,0.8182706399609184,0.7588614393125671,0.4081448204815388,0.5143873631954193
26,0.8207132388861749,0.761546723952739,0.402746906504035,0.5128688936432203
27,0.8319491939423547,0.7540279269602578,0.38631857838481665,0.5289712364474932
28,0.8231558378114313,0.7244897959183674,0.3808696558699012,0.5544640039404233
29,0.8402540302882266,0.751342642320086,0.3691362179815769,0.517457656065623
30,0.8407425500732779,0.757250268528464,0.36646260181441903,0.5237971196571986
31,0.8417195896433806,0.7593984962406015,0.3617001036182046,0.5109014064073563
32,0.8426966292134831,0.7577873254564984,0.35655676294118166,0.530516117811203
33,0.8485588666340986,0.7690655209452202,0.35878722835332155,0.5152008607983589
34,0.8475818270639961,0.7465091299677766,0.34353933576494455,0.5486135840415954
