,train_acc,test_acc,train_loss,test_loss
0,0.7445041524181729,0.849624060150376,0.5686742113903165,0.39353754073381425
1,0.8939912066438691,0.89312567132116,0.3036851044744253,0.2336855700860421
2,0.9330727894479727,0.9328678839957035,0.18446880485862494,0.16420494858175516
3,0.9545676599902296,0.9403866809881848,0.1304286124650389,0.1414136327492694
4,0.9687347337567171,0.9479054779806659,0.09726850048173219,0.12648881340088944
5,0.9809477283829995,0.9489795918367347,0.07211441587423906,0.11746898128961523
6,0.9838788470933073,0.9538131041890441,0.057753006694838405,0.1106230452346305
7,0.9858329262335125,0.9548872180451128,0.04827622335869819,0.1100755074992776
8,0.9902296042989741,0.9559613319011815,0.03551264826091938,0.11279116145257527
9,0.9960918417195896,0.9575725026852846,0.02731586422305554,0.10524014869782453
10,0.9980459208597948,0.9564983888292159,0.019515966399922036,0.11318724469747395
11,0.9960918417195896,0.9559613319011815,0.018496577293262817,0.11125822693381147
12,0.9995114802149487,0.9554242749731472,0.012678278581006452,0.11167100822979895
